#,Token,,Price,Change (%),Volume (24H),Circulating Market Cap,Onchain Market Cap,Holders,Id
679,Ferrum Network Token(FRM),,$0.02670.000009 ETH,-1.07%,"$489,448.00 ","$7,062,411.00 ","$4,380,789.80 ",53230.00%,0xe5caef4af8780e59df925470b050fb23c43ca68c
680,Lords(LORDS),,$0.05020.000016 ETH,-7.92%,"$9,443.00 ","$7,053,143.00 ","$25,084,000.00 ","1,998-0.050%",0x686f2404e77ab0d9070a46cdfb0b7fecdd2318b0
681,Origin Dollar(OUSD),,$0.99770.000320 ETH,-0.02%,"$134,533.00 ","$7,037,476.00 ","$7,037,476.66 ","3,161-0.032%",0x2a8e1e676ec238d8a992307b495b45b3feaa5e86
682,eUSD(eUSD),,$1.0240.000329 ETH,-0.02%,"$1,356.00 ","$7,024,609.00 ","$7,025,925.12 ",6810.00%,0xdf3ac4F479375802A821f7b7b46Cd7EB5E4262cC
683,Cogito Governance Token(CGV),,$0.05640.000018 ETH,-0.92%,"$85,030.00 ","$6,912,062.00 ","$646,247.18 ",7080.00%,0xaeF420fd77477d9Dc8B46D704D44dD09d6c27866
684,SAN(SAN),,$0.10780.000035 ETH,-2.65%,$800.00 ,"$6,903,841.00 ","$8,983,061.90 ",30050.00%,0x7c5a0ce9267ed19b22f8cae653f198e3e8daf098
685,Celsius(CEL),,$0.19130.000061 ETH,-12.13%,"$1,218,981.00 ","$6,874,078.00 ","$6,832,068.67 ",307560.03%,0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d
686,Shina Inu(SHI),,$0.000.000000 ETH,-7.11%,"$113,660.00 ","$6,845,227.00 ","$9,768,660.00 ",85010.02%,0x243cacb4d5ff6814ad668c3e225246efa886ad5a
687,BEFE(BEFE),,$0.00010.000000 ETH,-6.62%,"$1,458,430.00 ","$6,842,406.00 ","$24,700.70 ",705,0x0cc488a3f6c9a569614912e421115995493fdfec
688,AQTIS Token(AQTIS),,$0.00320.000001 ETH,-6.89%,"$3,068.00 ","$6,831,883.00 ","$9,543,990.00 ","4,767-0.042%",0x6ff2241756549b5816a177659e766eaf14b34429
689,CreoEngine(CREO),,$0.02350.000008 ETH,-3.98%,"$1,666,001.00 ","$6,821,015.00 ","$23,496,709.76 ",350,0xe636f94a71ec52cc61ef21787ae351ad832347b7
690,Dovu(DOVU[eth]),,$0.00080.000000 ETH,-17.08%,"$362,928.00 ","$6,706,324.00 ","$172,976.55 ",160,0x2aeAbde1aB736c59E9A19BeD67681869eEF39526
691,eesee(ESE),,$0.03650.000012 ETH,0.83%,"$2,090,212.00 ","$6,636,551.00 ","$16,998,375.39 ",17980.00%,0x908ddb096bfb3acb19e2280aad858186ea4935c4
692,Angola Coin(AGLA),,$0.01320.000004 ETH,-17.39%,"$1,671,424.00 ","$6,604,648.00 ","$39,671,520.00 ",12710.00%,0x1f7e5118521b550bb1a9b435727c003eb033fc51
693,Open Custody Protocol(OPEN),,$0.00920.000003 ETH,2.75%,"$2,135,448.00 ","$6,486,111.00 ","$18,426,380.00 ",137020.04%,0x4123a133ae3c521fd134d7b13a2dec35b56c2463
694,SIX Token(SIX),,$0.02360.000008 ETH,-1.24%,"$229,024.00 ","$6,468,004.00 ","$12,356,029.45 ",1590.63%,0x61c6ebf443ad613c9648762585b3cfd3ba1f3fa8
695,Bag(BAG),,$0.00120.000000 ETH,-6.26%,"$6,849.00 ","$6,455,920.00 ","$6,451,827.64 ",7960.00%,0x808688c820AB080A6Ff1019F03E5EC227D9b522B
696,SpookyToken(BOO),,$0.64950.000209 ETH,-11.61%,"$92,300.00 ","$6,443,453.00 ","$349,619.22 ",499-0.200%,0x55af5865807b196bd0197e0902746f31fbccfa58
697,Asterix(ASTX),,$642.66190.206329 ETH,-4.13%,"$413,943.00 ","$6,426,619.00 ","$6,426,619.16 ","3,447",0x0000000000ca73a6df4c58b84c5b4b847fe8ff39
698,Crypto.com Wrapped Staked ETH(CDCETH),,"$3,205.37241.029096 ETH",-5.48%,"$243,167.00 ","$6,410,745.00 ","$6,410,744.75 ",450.00%,0xfe18ae03741a5b84e39c295ac9c856ed7991c38e
699,Wall Street Memes(WSM),,$0.00340.000001 ETH,-2.88%,"$2,002,846.00 ","$6,372,582.00 ","$6,750,865.09 ",376670.01%,0xb62e45c3df611dce236a6ddc7a493d79f9dfadef
700,Celo Euro (Wormhole)(cEUR),,$1.0480.000336 ETH,-3.34%,"$4,273,015.00 ","$6,331,648.00 ","$48,463.71 ",600.00%,0xee586e7eaad39207f0549bc65f19e336942c992f
701,NLS native asset(NLS),,$0.02060.000007 ETH,-8.78%,"$241,406.00 ","$6,321,099.00 ","$90,149.86 ",51,0xb34e17562e4f1f63a2d4cf684ed8bc124e519771
702,Empyreal(EMP),,$20.950.006726 ETH,-5.43%,"$28,443.00 ","$6,287,817.00 ","$3,239,938.45 ",494-0.202%,0x39d5313c3750140e5042887413ba8aa6145a9bd2
703,BOSAGORA(BOA),,$0.0140.000005 ETH,-2.61%,"$89,210.00 ","$6,274,892.00 ","$7,603,114.85 ",17390.06%,0x746dda2ea243400d5a63e0700f190ab79f06489e
704,Defactor(FACTR),,$0.05470.000018 ETH,-1.89%,"$238,935.00 ","$6,241,671.00 ","$16,410,900.00 ",8450.00%,0xe0bceef36f3a6efdd5eebfacd591423f8549b9d5
705,KyberNetwork(KNC),,$0.49610.000159 ETH,-5.49%,"$618,572.00 ","$6,200,091.00 ","$6,410,069.69 ","81,083-0.001%",0xdd974d5c2e2928dea5f71b9825b8b646686bd200
706,Usk(USK),,$0.98870.000317 ETH,0.73%,"$2,660,739.00 ","$6,162,490.00 ",$478.55 ,110.00%,0x1b3c515f58857e141a966b33182f2f3feecc10e9
707,Prisma mkUSD(mkUSD),,$0.9950.000319 ETH,-0.03%,"$68,738.00 ","$6,152,380.00 ","$6,152,380.18 ","1,251-0.240%",0x4591dbff62656e7859afe5e45f6f47d3669fbb28
708,Lambda(LAMB),,$0.00320.000001 ETH,-11.51%,"$4,732,727.00 ","$6,041,453.00 ","$19,473,000.00 ","18,363-0.005%",0x8971f9fd7196e5cee2c1032b50f656855af7dd26
709,Lambda(LAMBDA),,$0.00320.000001 ETH,-11.51%,"$4,732,727.00 ","$6,041,453.00 ","$32,455,000.00 ",590.00%,0xe701C284eD9De407dA905d918D06dD94F0908C3A
710,Paribus(PBX),,$0.00080.000000 ETH,-2.46%,"$33,517.00 ","$6,034,330.00 ","$7,754,702.98 ","4,157-0.024%",0xd528cf2e081f72908e086f8800977df826b5a483
711,Messier(M87),,$0.000.000000 ETH,-19.31%,"$75,776.00 ","$6,021,144.00 ","$6,800,000.00 ","2,576-0.039%",0x80122c6a83c8202ea365233363d3f4837d13e888
712,UBXS Token(UBXS),,$0.10510.000034 ETH,-7.72%,"$139,313.00 ","$6,006,189.00 ",$7.36 ,1,0xfe6e6b60e441a383983ece2139e3ca3b3239e49e
713,XEND(XEND),,$0.0560.000018 ETH,-4.40%,"$39,578.00 ","$5,997,266.00 ","$11,010,223.39 ",47530.02%,0xe4cfe9eaa8cdb0942a80b7bc68fd8ab0f6d44903
714,Xend Real World Asset(RWA),,$0.0560.000018 ETH,-4.40%,"$39,578.00 ","$5,997,266.00 ","$11,010,223.39 ",5790.17%,0x4563554284aa7148d6e6d0351519e954ba3b6e02
715,dHedge DAO Token(DHT),,$0.11330.000036 ETH,-6.07%,"$18,523.00 ","$5,972,415.00 ","$11,332,700.00 ",35340.00%,0xca1207647Ff814039530D7d35df0e1Dd2e91Fa84
716,Velar(VELAR),,$0.06980.000022 ETH,-3.21%,"$221,460.00 ","$5,931,798.00 ","$69,840,000.00 ","1,011-0.099%",0x033bbde722ea3cdcec73cffea6581df9f9c257de
717,Shutter Token(SHU),,$0.03460.000011 ETH,-8.36%,"$134,589.00 ","$5,860,573.00 ","$34,566,370.00 ","2,770",0xe485e2f1bab389c08721b291f6b59780fec83fd7
718,Zunami Token(ZUN),,$0.17430.000056 ETH,-17.65%,"$108,291.00 ","$5,858,993.00 ","$17,431,500.00 ",1241.61%,0x6b5204B0Be36771253Cc38e88012E02B752f0f36
719,UwU Lend(UwU),,$0.79260.000254 ETH,2.59%,"$79,765.00 ","$5,844,293.00 ","$12,680,912.00 ",9090.00%,0x55C08ca52497e2f1534B59E2917BF524D4765257
720,Catboy(CATBOY),,$0.02980.000010 ETH,3.63%,"$814,737.00 ","$5,758,802.00 ","$2,982,383.00 ",21100.00%,0x0DceE5F694E492F0DD842a7FBE5BEd4C6E4665a6
721,Aperture(APTR),,$0.06320.000020 ETH,4.84%,"$805,425.00 ","$5,749,149.00 ","$61,358,534.96 ",3,0xBEEF01060047522408756E0000A90ce195A70000
722,NEST(NEST),,$0.0010.000000 ETH,-9.83%,"$523,707.00 ","$5,727,874.00 ","$9,661,500.00 ",245-0.408%,0xcd6926193308d3B371FdD6A6219067E550000000
723,Adappter Token(ADP),,$0.00190.000001 ETH,-2.66%,"$252,150.00 ","$5,725,794.00 ","$18,776,379.31 ","2,656-0.301%",0xc314b0e758d5ff74f63e307a86ebfe183c95767b
724,RMRK(RMRK),,$0.62910.000202 ETH,-4.34%,"$19,462.00 ","$5,719,486.00 ","$92,922.20 ",980.00%,0x524d524B4c9366be706D3A90dcf70076ca037aE3
725,xcRMRK(xcRMRK),,$0.62910.000202 ETH,-4.34%,"$19,462.00 ","$5,719,486.00 ","$717,823.78 ",7980.00%,0x471Ea49dd8E60E697f4cac262b5fafCc307506e4
726,Green Grey MetaGame Token(GGMT),,$0.01130.000004 ETH,-6.21%,"$453,902.00 ","$5,578,105.00 ","$113,151,200.00 ",1490.00%,0x76aab5fd2243d99eac92d4d9ebf23525d3ace4ec
727,LocalCoinSwap Cryptoshare(LCS),,$0.14420.000046 ETH,5.54%,"$6,132.00 ","$5,517,306.00 ","$8,735,502.20 ",41760.00%,0xaa19961b6b858d9f18a115f25aa1d98abc1fdba8
728,GameSwift(GSWIFT),,$0.09750.000031 ETH,5.76%,"$629,266.00 ","$5,496,754.00 ","$1,595,981.95 ","6,081-0.016%",0x580e933d90091b9ce380740e3a4a39c67eb85b4c
729,CircuitsOfValue(Coval),,$0.00310.000001 ETH,5.60%,"$56,784.00 ","$5,478,850.00 ","$5,447,655.47 ",96220.05%,0x3d658390460295fb963f54dc0899cfb1c30776df
730,Unisocks Edition 0(SOCKS),,"$17,998.565.778499 ETH",-3.87%,"$2,246.00 ","$5,381,441.00 ","$5,381,569.44 ",38480.03%,0x23b608675a2b2fb1890d3abbd85c5775c51691d5
731,TypeAI(TYPE),,$0.56320.000181 ETH,-21.25%,"$61,968.00 ","$5,350,836.00 ","$5,632,458.50 ","6,433-0.093%",0x443459d45c30a03f90037d011cbe22e2183d3b12
732,FOAM Token(FOAM),,$0.0150.000005 ETH,-4.25%,$375.00 ,"$5,340,859.00 ","$15,025,070.00 ",35790.00%,0x4946fcea7c692606e8908002e55a582af44ac121
733,BABB BAX(BAX),,$0.00010.000000 ETH,-5.57%,"$19,991.00 ","$5,304,383.00 ","$5,960,700.00 ","3,662-0.027%",0xf920e4F3FBEF5B3aD0A25017514B769bDc4Ac135
734,Bitrock(BITROCK),,$0.05590.000018 ETH,-5.59%,"$456,430.00 ","$5,200,992.00 ","$5,590,765.64 ","7,393-0.054%",0xde67d97b8770dc98c746a3fc0093c538666eb493
735,Nash Exchange Token(NEX),,$0.12230.000039 ETH,-6.17%,"$3,507.00 ","$5,193,844.00 ","$1,458,191.01 ",10060.00%,0xe2dc070524a6e305ddb64d8513dc444b6a1ec845
736,Blockchain Bets(BCB),,$0.00590.000002 ETH,-6.84%,"$19,041.00 ","$5,169,758.00 ","$5,879,580.00 ","6,301-0.063%",0x2d886570a0da04885bfd6eb48ed8b8ff01a0eb7e
737,Mancium(MANC),,$0.50950.000164 ETH,-0.06%,"$54,572.00 ","$5,100,239.00 ","$50,948,900.00 ",33110.00%,0xe0c05ec44775e4ad62cdc2eecdf337aa7a143363
738,ONINO(ONI),,$0.1380.000044 ETH,0.86%,"$77,949.00 ","$5,058,304.00 ","$77,914.31 ",881.14%,0x822757d09a8d5db5874be7f367eafae2af32d64b
739,SpaceChain(SPC),,$0.01640.000005 ETH,-3.93%,"$5,516.00 ","$5,049,385.00 ","$6,396,725.33 ",8890.00%,0x8069080a922834460c3a092fb2c1510224dc066b
740,UniBright(UBT),,$0.03380.000011 ETH,-7.79%,"$44,366.00 ","$5,022,551.00 ","$5,065,923.00 ",223310.00%,0x8400d94a5cb0fa0d041a3788e395285d61c9ee5e
741,Real Smurf Cat(шайлушай),,$0.00010.000000 ETH,-11.19%,"$106,584.00 ","$5,017,113.00 ","$5,018,000.00 ","12,080-0.025%",0xff836a5821e69066c87e268bc51b849fab94240c
742,Fusion(FSN),,$0.06540.000021 ETH,-6.63%,"$58,638.00 ","$5,017,094.00 ","$110,325.71 ",40,0x9AfC975EdB8a0B57f066e8e0A72A5e2ADbdCb605
743,Fusion(FSN),,$0.06540.000021 ETH,-6.63%,"$58,638.00 ","$5,017,094.00 ","$3,747,543.99 ",94590.00%,0xd0352a019e9ab9d757776f532377aaebd36fd541
744,Fusion(anyFSN),,$0.06540.000021 ETH,-6.63%,"$58,638.00 ","$5,017,094.00 ","$3,116.83 ",4130.00%,0x979aCA85bA37c675e78322ed5d97fa980B9Bdf00
745,PolkaFoundry(PKF),,$0.03510.000011 ETH,-6.34%,"$4,943.00 ","$5,001,403.00 ","$7,027,454.00 ","6,054-0.017%",0x8b39b70e39aa811b69365398e0aace9bee238aeb
746,BetProtocolToken(BEPRO),,$0.00050.000000 ETH,-2.62%,"$440,604.00 ","$4,994,496.00 ","$4,994,100.00 ","9,713-0.010%",0xcf3c8be2e2c42331da80ef210e9b1b307c03d36a
747,UMEE(UMEE),,$0.00110.000000 ETH,-1.62%,"$123,864.00 ","$4,992,396.00 ","$213,063.84 ","1,495",0xc0a4df35568f116c370e6a6a6022ceb908eeddac
748,Eden(EDEN),,$0.03330.000011 ETH,-4.38%,"$31,563.00 ","$4,987,503.00 ","$5,147,657.81 ",48970.00%,0x1559fa1b8f28238fd5d76d9f434ad86fd20d1559
749,Diment Dollar(DD),,$0.99350.000319 ETH,-0.59%,"$4,881,493.00 ","$4,972,591.00 ",$0.00 ,0,0x71b3a0566f4bf80331d115d8026a7022bf670cce
750,Cookie(COOKIE),,$0.06620.000021 ETH,-4.88%,"$786,924.00 ","$4,957,168.00 ",$0.00 ,0,0xc0041ef357b183448b235a8ea73ce4e4ec8c265f
751,SENATE(SENATE),,$0.04150.000013 ETH,-4.36%,"$64,298.00 ","$4,954,691.00 ","$7,969,510.68 ","15,340-0.007%",0x34Be5b8C30eE4fDe069DC878989686aBE9884470
752,WOM Token(WOM),,$0.02090.000007 ETH,-3.78%,"$105,422.00 ","$4,916,839.00 ","$20,914,200.00 ",25490.00%,0xBd356a39BFf2cAda8E9248532DD879147221Cf76
753,STAT(STAT),,$0.09440.000030 ETH,-3.20%,"$105,889.00 ","$4,852,626.00 ","$9,146,570.29 ",584-1.027%,0x4fc15c91a9c4a9efb404174464687e8e128730c2
754,EverRise(RISE),,$0.00010.000000 ETH,-1.40%,"$1,633.00 ","$4,838,669.00 ","$4,877,904.29 ",20300.00%,0xC17c30e98541188614dF99239cABD40280810cA3
755,Picasso(PICA),,$0.00070.000000 ETH,-6.84%,"$183,097.00 ","$4,833,909.00 ","$67,238.10 ",181,0xbb63a9b64a80e9338b8ea298c51765e57c4f159c
756,Ethereum Push Notification Service(PUSH),,$0.07950.000026 ETH,-3.76%,"$988,240.00 ","$4,802,769.00 ","$7,945,300.00 ","5,548-0.018%",0xf418588522d5dd018b425e472991e52ebbeeeeee
757,Wrapped ZNN(wZNN),,$0.75530.000242 ETH,-8.07%,"$11,850.00 ","$4,781,598.00 ","$721,682.71 ",697-0.143%,0xb2e96a63479c2edd2fd62b382c89d5ca79f572d3
758,TOWER(TOWER),,$0.00280.000001 ETH,-17.45%,"$95,486.00 ","$4,778,387.00 ","$27,798,100.00 ","4,617-0.043%",0x1c9922314ed1415c95b9fd453c3818fd41867d0b
759,Gala Music($MUSIC),,$0.03810.000012 ETH,-0.56%,"$3,528,612.00 ","$4,767,098.00 ","$3,520,079.22 ",40980.00%,0xD8c0b13B551718b808fc97eAd59499d5Ef862775
760,Everyworld(EVERY),,$0.00570.000002 ETH,1.05%,"$37,426.00 ","$4,726,436.00 ","$56,575,865.90 ",672-0.149%,0x9aFa9999e45484Adf5d8EED8D9Dfe0693BACd838
761,RAE Token(RAE),,$0.9040.000290 ETH,-0.52%,"$17,673.00 ","$4,722,772.00 ","$4,722,774.14 ","1,714-0.058%",0xe5a3229ccb22b6484594973a03a3851dcd948756
762,ASIA COIN(ASIA),,$0.09360.000030 ETH,0.68%,"$12,881.00 ","$4,686,268.00 ","$9,363,700.00 ",135-0.741%,0xf519381791c03dd7666c142d4e49fd94d3536011
763,Revest(RVST),,$0.05270.000017 ETH,-11.33%,"$71,013.00 ","$4,640,897.00 ","$5,266,000.00 ","7,024-0.014%",0x120a3879da835a5af037bb2d1456bebd6b54d4ba
764,FER(FER),,$0.00490.000002 ETH,-2.47%,"$5,758.00 ","$4,613,130.00 ","$49,501.11 ",106,0x2f32b39023da7d6a6486a85d12b346eb9c2a0d19
765,BTC 2x Flexible Leverage Index(BTC2x-FLI),,$25.100.008058 ETH,-7.34%,"$1,853.00 ","$4,611,021.00 ","$4,607,807.80 ",6920.00%,0x0b498ff89709d3838a063f1dfa463091f9801c2b
766,HUSD(HUSD),,$0.02450.000008 ETH,--,$0.00 ,"$4,599,770.00 ","$4,599,769.92 ",94580.00%,0xdf574c24545e5ffecb9a659c229253d4111d87e1
767,Shezmu(SHEZMU),,$7.740.002485 ETH,-21.01%,"$122,200.00 ","$4,579,274.00 ","$5,920,395.66 ",18780.32%,0x5fE72ed557d8a02FFf49B3B826792c765d5cE162
768,Aladdin Token(ALD),,$0.03050.000010 ETH,-0.09%,"$9,605.00 ","$4,567,591.00 ","$4,571,238.77 ",30880.03%,0xb26C4B3Ca601136Daf98593feAeff9E0CA702a8D
769,WinsToken(WINS),,$0.02970.000010 ETH,-0.92%,$17.00 ,"$4,550,796.00 ","$29,660,560.00 ",19,0x5f48d1Fd6814Cd1CD38Aeb895755E57d519196d1
770,TAO Inu(TAONU),,$0.00490.000002 ETH,1.49%,"$118,039.00 ","$4,549,950.00 ","$4,907,590.00 ",30140.07%,0x4e9fcd48af4738e3bf1382009dc1e93ebfce698f
771,Darwinia Network Native Token(RING),,$0.00270.000001 ETH,7.49%,"$376,930.00 ","$4,544,648.00 ","$1,806,421.69 ",89840.02%,0x9469d013805bffb7d3debe5e7839237e535ec483
772,EtherEmpires(ETE),,$0.0090.000003 ETH,-5.31%,"$7,348.00 ","$4,497,568.00 ","$8,990,140.00 ",410.00%,0xd27B128dc6536309CdebF7F1AFf0cB7717Bc0268
773,Dragon(DRGN),,$0.01210.000004 ETH,-3.12%,"$6,826.00 ","$4,480,363.00 ","$5,264,369.45 ",399240.00%,0x419c4db4b9e25d6db2ad9691ccb832c8d9fda05e
774,Presearch(PRE),,$0.01130.000004 ETH,1.24%,"$102,289.00 ","$4,468,913.00 ","$8,451,505.84 ",204770.01%,0xEC213F83defB583af3A000B1c0ada660b1902A0F
775,Chirpley Token(CHRP),,$0.00760.000002 ETH,-10.65%,"$521,875.00 ","$4,451,394.00 ","$345,401.44 ",5490.55%,0x70bc0dc6414eb8974bc70685f798838a87d8cce4
776,SHOPX(SHOPX),,$0.00930.000003 ETH,2.12%,"$286,506.00 ","$4,443,091.00 ","$4,648,270.00 ",92090.01%,0x7bef710a5759d197ec0bf621c3df802c2d60d848
777,KAN(KAN),,$0.00080.000000 ETH,-1.31%,"$272,650.00 ","$4,425,962.00 ","$8,104,500.00 ",546250.00%,0x1410434b0346f5be678d0fb554e5c7ab620f8f4a
778,LayerAI Token(LAI),,$0.01380.000004 ETH,-11.00%,"$3,077,602.00 ","$4,396,383.00 ","$41,330,760.00 ",75910.20%,0x168e209D7b2F58f1f24b8Ae7B7d35E662bBF11Cc
779,Floor(FLOOR),,$4.770.001531 ETH,--,$34.00 ,"$4,386,539.00 ","$5,159,465.73 ",2570.00%,0xf59257E961883636290411c11ec5Ae622d19455e
780,MEAN(MEAN),,$0.02230.000007 ETH,-8.16%,"$67,341.00 ","$4,380,231.00 ",$0.02 ,10.00%,0x9b25889c493ae6df34ceef1ecb10d77c1ba73318
781,Vector(VEC),,$4.000.001284 ETH,--,$20.00 ,"$4,379,677.00 ","$4,380,260.00 ",24270.00%,0x1bb9b64927e0c5e207c9db4093b3738eef5d8447
782,MASQ(MASQ),,$0.12710.000041 ETH,-7.55%,"$25,809.00 ","$4,379,129.00 ","$4,766,925.00 ","4,601-0.022%",0x06F3C323f0238c72BF35011071f2b5B7F43A054c
783,Volumint(vMINT),,$0.00790.000003 ETH,-8.82%,"$234,380.00 ","$4,339,986.00 ","$7,860,352.60 ",60000.02%,0xd7b2c1a7f3c67fb0ea57a7ef29bc1f18d7be3195
784,RealityMetaverse(RMV),,$0.01240.000004 ETH,2.11%,"$335,585.00 ","$4,328,123.00 ","$12,428,770.00 ",7290.00%,0x423352f2c6e0e72422b69af03aba259310146d90
785,Bridge(BRG),,$0.00050.000000 ETH,-4.15%,"$851,861.00 ","$4,326,451.00 ","$20,738.29 ",250.00%,0xc9c4fd7579133701fa2769b6955e7e56bb386db1
786,Lybra(LBR),,$0.07880.000025 ETH,0.30%,"$1,060,542.00 ","$4,325,791.00 ","$5,365,518.86 ",28950.00%,0xed1167b6Dc64E8a366DB86F2E952A482D0981ebd
787,MagicCraft(MCRT),,$0.0010.000000 ETH,-1.81%,"$283,255.00 ","$4,305,037.00 ","$71,832.79 ",589,0xde16Ce60804a881e9F8c4eBB3824646EDecd478D
788,Bubblefong(BBF),,$0.02290.000007 ETH,11.20%,"$540,120.00 ","$4,276,294.00 ","$16,050,575.09 ","3,212",0xde075d9adbd0240b4462f124af926452ad0bac91
789,Rai Reflex Index(RAI),,$2.860.000918 ETH,-1.10%,"$131,544.00 ","$4,256,600.00 ","$4,264,016.90 ",33720.00%,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919
790,Sylo(SYLO),,$0.0010.000000 ETH,1.50%,"$1,612,734.00 ","$4,242,803.00 ","$10,186,700.00 ",112860.00%,0xf293d23bf2cdc05411ca0eddd588eb1977e8dcd4
791,KAP Games Token(KAP),,$0.03270.000010 ETH,-3.59%,"$709,729.00 ","$4,159,828.00 ","$32,696,990.00 ",13430.00%,0x9625ce7753ace1fa1865a47aae2c5c2ce4418569
792,BDPToken(BDP),,$0.17070.000055 ETH,-6.23%,"$251,113.00 ","$4,126,923.00 ","$11,082,204.52 ",100060.00%,0xf3dcbc6d72a4e1892f7917b7c43b74131df8480e
793,Shade Protocol (IBC)(SHD),,$1.320.000424 ETH,-7.55%,"$108,898.00 ","$4,084,863.00 ",$17.16 ,10.00%,0x11539a7931c82191af65406ba986bf5b90a3f5e4
794,UnmarshalToken(MARSH),,$0.07770.000025 ETH,-3.76%,"$387,328.00 ","$3,973,396.00 ","$7,774,400.00 ","4,015-0.025%",0x5a666c7d92e5fa7edcb6390e4efd6d0cdd69cf37
795,RUBIC TOKEN(RBC),,$0.02240.000007 ETH,2.33%,"$171,183.00 ","$3,956,314.00 ","$3,992,311.33 ",27490.00%,0x3330bfb7332ca23cd071631837dc289b09c33333
796,MTD(MTD),,$0.02070.000007 ETH,-3.93%,"$6,569.00 ","$3,842,146.00 ","$25,205.25 ",68,0x809e130e10e787139c54e1d12d3d1971b7a675bf
797,Voice Token(VOICE),,$108.820.034937 ETH,--,$20.00 ,"$3,823,291.00 ","$313,183.96 ",4510.00%,0x2e2364966267B5D7D2cE6CD9A9B5bD19d9C7C6A9
798,NETVRK(NTVRK),,$0.07550.000024 ETH,-5.16%,"$247,421.00 ","$3,815,638.00 ","$7,547,052.22 ",99480.00%,0xfc0d6cf33e38bce7ca7d89c0e292274031b7157a
799,NetVRk(NETVR),,$0.07550.000024 ETH,-5.16%,"$247,421.00 ","$3,815,638.00 ","$7,547,052.22 ",17530.00%,0x52498F8d9791736f1D6398fE95ba3BD868114d10
800,Ÿ(YAI),,$0.04120.000013 ETH,-7.06%,"$27,297.00 ","$3,792,323.00 ","$4,120,951.00 ","6,334-0.111%",0x477a3d269266994f15e9c43a8d9c0561c4928088
801,MoneyToken(IMT),,$0.00030.000000 ETH,-4.96%,$0.00 ,"$3,766,643.00 ","$6,346,205.69 ",602140.00%,0x13119e34e140097a507b07a5564bde1bc375d9e6
802,SocialGood(SG),,$0.15910.000051 ETH,7.34%,"$181,017.00 ","$3,764,952.00 ","$4,316,195.57 ",214790.01%,0xddf7fd345d54ff4b40079579d4c4670415dbfd0a
803,ShareToken(SHR),,$0.00160.000001 ETH,4.42%,"$185,491.00 ","$3,732,910.00 ","$4,950,561.18 ",57880.00%,0xd98f75b1a3261dab9eed4956c93f33749027a964
804,DXdao(DXD),,$158.120.050765 ETH,--,$425.00 ,"$3,710,974.00 ","$23,556,243.24 ",12120.00%,0xa1d65E8fB6e87b60FECCBc582F7f97804B725521
805,Lithium(LITH),,$0.00070.000000 ETH,-10.30%,"$562,665.00 ","$3,704,500.00 ","$7,066,662.65 ",46730.04%,0x188e817b02e635d482ae4d81e25dda98a97c4a42
806,BlockGames(BLOCK),,$0.04430.000014 ETH,-10.28%,"$1,375,910.00 ","$3,696,163.00 ","$44,307,887.94 ",95750.04%,0x8fc17671D853341D9e8B001F5Fc3C892d09CB53A
807,BUMP(BUMP),,$0.01890.000006 ETH,-6.36%,"$143,587.00 ","$3,693,772.00 ","$4,728,027.50 ",37580.03%,0x785c34312dfa6b74f6f1829f79ade39042222168
808,Inspect(INSP),,$0.01840.000006 ETH,-4.09%,"$132,299.00 ","$3,624,766.00 ","$18,446,220.00 ",77180.07%,0x186eF81fd8E77EEC8BfFC3039e7eC41D5FC0b457
809,Geeq(GEEQ),,$0.06770.000022 ETH,-4.11%,"$186,441.00 ","$3,495,239.00 ","$6,767,900.00 ","2,574-0.039%",0x6B9f031D718dDed0d681c20cB754F97b3BB81b78
810,Bonsai3(SEED),,$0.00660.000002 ETH,-6.07%,$449.00 ,"$3,483,728.00 ","$6,593,810.00 ","2,349-0.043%",0xe2353069f71a27bBbe66eEabfF05dE109c7d5E19
811,Sora Token(XOR),,$0.000.000000 ETH,-8.98%,"$205,208.00 ","$3,480,878.00 ","$548,901.49 ",169560.00%,0x40FD72257597aA14C7231A7B1aaa29Fce868F677
812,Spheroid(SPH),,$0.00150.000000 ETH,-0.14%,"$73,304.00 ","$3,472,560.00 ","$3,470,061.90 ",69940.01%,0xa0cf46eb152656c7090e769916eb44a138aaa406
813,Yuan Chain New(YCC),,$0.00070.000000 ETH,--,$0.00 ,"$3,457,769.00 ","$6,969,200.00 ",42840.00%,0x37e1160184f7dd29f00b78c050bf13224780b0b0
814,Cashaa(CAS),,$0.00340.000001 ETH,-5.58%,"$121,752.00 ","$3,437,726.00 ","$3,437,725.71 ",126540.00%,0xe8780b48bdb05f928697a5e8155f672ed91462f7
815,Wrapped MistCoin(WMC),,$3.440.001104 ETH,-18.44%,"$50,785.00 ","$3,437,507.00 ","$1,867,950.96 ","1,754-0.171%",0x7Fd4d7737597E7b4ee22AcbF8D94362343ae0a79
816,GAINS(GAINS),,$0.06420.000021 ETH,-3.85%,"$87,589.00 ","$3,435,151.00 ","$6,418,658.68 ",9640.00%,0x056C1D42Fb1326f57da7f19eBB7dDA4673f1FF55
817,Dvision(DVI),,$0.01380.000004 ETH,-6.62%,"$429,060.00 ","$3,412,589.00 ","$13,774,940.00 ","2,015-0.099%",0x10633216e7e8281e33c86f02bf8e565a635d9770
